threshold,metric,ci_lower,ci_upper
9,fnr (Black),0.7193159620958144,0.7589920066740392
9,fnr (White),0.862513399862522,0.9027222065555278
9,fnr Gap (B-W),-0.17213204315303487,-0.11521140723000124
9,ppv (Black),0.7109717281306934,0.777947932618683
9,ppv (White),0.6235938532716457,0.7660856687172476
9,ppv Gap (B-W),-0.02906413092656234,0.12700641377946853
9,npv (Black),0.5181416097055949,0.5536473184444506
9,npv (White),0.6081791043236465,0.6479063722638561
9,npv Gap (B-W),-0.11875356494934536,-0.0653117200144782
9,tpr_recall (Black),0.24100799332596082,0.28068403790418556
9,tpr_recall (White),0.0972777934444721,0.1374866001374781
9,tpr_recall Gap (B-W),0.11521140723000121,0.17213204315303485
9,tnr_spec (Black),0.8914250735706927,0.9183898369221272
9,tnr_spec (White),0.9577745706437969,0.9757416482888182
9,tnr_spec Gap (B-W),-0.07854052746913724,-0.04554776297716685
9,accuracy (Black),0.5570887445887446,0.5900974025974026
9,accuracy (White),0.6132844335778321,0.6515892420537898
9,accuracy Gap (B-W),-0.08352429838906,-0.03404526402692667
9,balanced_accuracy (Black),0.5710167828128343,0.5952117176693191
9,balanced_accuracy (White),0.5311771166831892,0.5532859273883817
9,balanced_accuracy Gap (B-W),0.024352445721012035,0.057232144339213385
9,overall_error (Black),0.4099025974025974,0.4429112554112554
9,overall_error (White),0.3484107579462103,0.38671556642216787
9,overall_error Gap (B-W),0.0340452640269266,0.08352429838905995
9,selection_rate (Black),0.1682900432900433,0.19291125541125542
9,selection_rate (White),0.05623471882640587,0.07579462102689487
9,selection_rate Gap (B-W),0.09859118825347432,0.13000640353941087
10,fpr (Black),0.024999321389793706,0.04113396331295164
10,fpr (White),0.007442489851150203,0.018691588785046728
10,fpr Gap (B-W),0.010178762231803393,0.03035217992024452
10,fnr (Black),0.8657029835505347,0.8949845159297278
10,fnr (White),0.9397709160722636,0.9660306245820697
10,fnr Gap (B-W),-0.09255174406656373,-0.052445508746108316
10,ppv (Black),0.7464285714285714,0.84
10,ppv (White),0.5862068965517241,0.8088235294117647
10,ppv Gap (B-W),-0.02612434793922631,0.21581039678199243
10,npv (Black),0.492232542782407,0.5253349850999519
10,npv (White),0.5951273866964522,0.6343501880484748
10,npv Gap (B-W),-0.13099543915806566,-0.08034207048643884
10,tpr_recall (Black),0.10501548407027216,0.13429701644946532
10,tpr_recall (White),0.0339693754179303,0.060229083927736356
10,tpr_recall Gap (B-W),0.05244550874610831,0.09255174406656373
10,tnr_spec (Black),0.9588660366870484,0.9750006786102062
10,tnr_spec (White),0.9813084112149533,0.9925575101488497
10,tnr_spec Gap (B-W),-0.030352179920244506,-0.010178762231803348
10,accuracy (Black),0.5146036255411256,0.5465367965367965
10,accuracy (White),0.5973920130399348,0.6365118174409128
10,accuracy Gap (B-W),-0.11098608883984803,-0.06116909908551101
10,balanced_accuracy (Black),0.5348918642894752,0.551539799552121
10,balanced_accuracy (White),0.5099063516652786,0.5241883654600812
10,balanced_accuracy Gap (B-W),0.015083787809822,0.0373600678769979
10,overall_error (Black),0.45346320346320346,0.48539637445887435
10,overall_error (White),0.3634881825590872,0.4026079869600652
10,overall_error Gap (B-W),0.061169099085511054,0.11098608883984802
10,selection_rate (Black),0.06898674242424242,0.08603896103896104
10,selection_rate (White),0.019967400162999183,0.032599837000814993
10,selection_rate Gap (B-W),0.04045202836079975,0.06253439917865346
11,fpr (Black),0.0,0.0
11,fpr (White),0.0,0.0
11,fpr Gap (B-W),0.0,0.0
11,fnr (Black),1.0,1.0
11,fnr (White),1.0,1.0
11,fnr Gap (B-W),0.0,0.0
11,ppv (Black),,
11,ppv (White),,
11,ppv Gap (B-W),,
11,npv (Black),0.4694264069264069,0.5010822510822511
11,npv (White),0.58679706601467,0.6263243683781581
11,npv Gap (B-W),-0.14589568184464274,-0.09598103480667665
11,tpr_recall (Black),0.0,0.0
11,tpr_recall (White),0.0,0.0
11,tpr_recall Gap (B-W),0.0,0.0
11,tnr_spec (Black),1.0,1.0
11,tnr_spec (White),1.0,1.0
11,tnr_spec Gap (B-W),0.0,0.0
11,accuracy (Black),0.4694264069264069,0.5010822510822511
11,accuracy (White),0.58679706601467,0.6263243683781581
11,accuracy Gap (B-W),-0.14589568184464274,-0.09598103480667665
11,balanced_accuracy (Black),0.5,0.5
11,balanced_accuracy (White),0.5,0.5
11,balanced_accuracy Gap (B-W),0.0,0.0
11,overall_error (Black),0.4989177489177489,0.5305735930735931
11,overall_error (White),0.37367563162184186,0.4132029339853301
11,overall_error Gap (B-W),0.09598103480667668,0.14589568184464274
11,selection_rate (Black),0.0,0.0
11,selection_rate (White),0.0,0.0
11,selection_rate Gap (B-W),0.0,0.0
Score_1,Calibration (Black),0.1888547215496368,0.2704980671486863
Score_1,Calibration (White),0.1774891774891775,0.23948620557261943
Score_1,Calibration Gap (B-W),-0.03146193475336959,0.07250426180045196
